function	function	1
ID	f	1
(	(	1
int	int	1
ID	p	1
)	)	1
{	{	1
int	int	2
ID	a	2
,	,	2
ID	b	2
,	,	2
ID	arr	2
[	[	2
NUM	5	2
]	]	2
;	;	2
int	int	3
ID	a	3
;	;	3
ID	c	5
=	=	5
NUM	10	5
;	;	5
ID	a	6
[	[	6
NUM	0	6
]	]	6
=	=	6
NUM	1	6
;	;	6
ID	arr	7
=	=	7
NUM	2	7
;	;	7
call	call	8
ID	g	8
(	(	8
)	)	8
;	;	8
write	write	10
ID	a	10
;	;	10
}	}	11
main	main	13
(	(	13
)	)	13
{	{	13
int	int	14
ID	x	14
,	,	14
ID	badArr	14
[	[	14
NUM	3	14
NUM	0	14
;	;	14
read	read	18
ID	x	18
NUM	0	18
;	;	18
while	while	20
(	(	20
ID	x	20
<	<	20
NUM	3	20
{	{	20
ID	x	21
=	=	21
ID	x	21
+	+	21
NUM	1	21
;	;	21
}	}	22
switch	switch	24
(	(	24
ID	x	24
)	)	24
{	{	24
case	case	25
NUM	1	25
NUM	0	25
;	;	25
write	write	26
ID	x	26
;	;	26
break	break	27
;	;	27
default	default	28
:	:	28
write	write	29
ID	x	29
;	;	29
}	}	30
return	return	32
ID	x	32
NUM	0	32
;	;	32
}	}	33
